98,challenge,n.挑战；质疑；vt.挑战
93,mysterious,adj.神秘的
873,differ,vi.相异，不同于
863,Pleistocene,n.更新世，更新世岩
861,halite,n.岩盐
86,deficiency,n.不足，缺乏
853,considerably,adv.非常地；大幅度地
850,brilliance,n.光辉；辉煌；(色彩)鲜明
84,descendant,n.后代，后裔；派生物
837,erect,v.建造，建立；搭建，竖起；adj.直立的，垂直的
830,woolly,adj.羊毛制的
825,recruitment,n.征募新兵
812,perishable,adj.（食物）易坏的，易消亡的；n.易腐坏的东西
805,porous,adj.可渗透的，多孔的，可穿越的
804,identify,v.识别出；认出；确定，鉴定
793,sociobiology,n.生物社会学
791,grant,v.允许，同意，准允；n.拨款
781,peepshow,n.西洋镜
776,consciousness,n.意识，知觉
772,successional,adj.连续性的，继续的，接连的
769,equivalent,adj.相等的；等值的；n.同义词；等价物
752,comprise,vt.构成，由……组成；包含，包括
731,cohesive,adj.团结的；紧密结合的
716,subjected,adj.从属于……的
714,antibiotic,n.抗生素；adj.抗菌的
698,comparison,n.比较；比较等级；对照；比喻
69,stagnant,adj.不流动的
661,constituent,adj.组成的；有选举权的；n.选民
606,relatively,adv.比较地，相对地
605,perceive,v.意识到
572,interpret,v.口译；解释；vt.把……理解（解释）为
566,collectible,adj.可收集的，可回收的
559,prerecord,v.事先录制
556,integrity,n.正直，真诚
55,instinct,n.本能，天性；天分，天资；直觉
545,enlarge,v.放大，扩展
534,sediment,n.沉渣，沉淀物，沉淀
53,demonstrate,v.演示，展示；（用实例、实验）论证；示范；示威
526,divide,v.分开，划分；除
517,presidency,n.总统的职位（或职务、任期）
514,various,adj.各种各样的，不同的
513,technological,adj.技术的，工艺的
509,circulation,n.（水、空气等的）流通
502,facilitate,vt.促进；为他人提供方便；使便利
500,balance,n.平衡；天平；v.平衡；保持平衡
5,varves,n.（地）纹泥，冲积层
493,despondent,adj.失望的，意气消沉的，没有精神的
49,continental,adj.大陆的，大陆性的；n.欧洲人
483,Pangaea,n.泛大陆，盘古大陆
48,narrative,n.叙述；adj.叙述的
471,classify,vt.把……分类
455,realm,n.领域；国土
452,exist,vi.存在；生存，生活
449,geographical,adj.地理的，地理学的
437,synthetic,adj.合成的，人造的；n.合成物
434,expectation,n.期望；预期
433,economic,adj.经济上的，经济学的
427,traditional,adj.传统的
422,structure,n.建筑物；结构；vt.精心组织
42,preservation,n.保存，保护
401,sculptor,n.雕刻家
393,conserve,v.保护，保存
380,depressed,adj.沮丧的；萧条的；低迷的
38,potential,n.潜力，潜能；adj.潜在的，可能的
377,mention,vt.提到；n.谈到，提及
369,opposite,adj.相反的；对立的；对面的；adv.对立地；反面…
365,recognition,n.承认，认可
348,ancient,adj.古代的
345,medieval,adj.中世纪的，中古（时代）的
343,attract,v.吸引
340,Jamestown,n.詹姆斯敦（北美洲第一个英国永久殖民地）
34,plankton,n.浮游生物
323,octopus,n.章鱼
317,annually,adv.一年一次；每年
316,lunar,adj.阴历的，月亮的，月球的
314,attentive,adj.专心的，注意的
309,chemical,n.化学品；adj.化学的，与化学有关的
303,column,n.柱，支柱，圆柱；栏，专栏；长队
30,emergence,n.冒出；浮现
294,stylistic,adj.体裁上的，格式上的，文体论的
285,plutonic,adj.深层岩体的，冥王星的
281,altogether,adv.总共；总而言之
278,British,adj.英国的，不列颠的
277,insulation,n.绝缘；隔离
275,successive,adj.接连的；连续的
265,hormone,n.荷尔蒙，激素
263,relation,n.关系，联系
248,Sioux,n.苏族（印第安人的一族，自称达科他Dakota族）
239,capillary,n.毛细血管；adj.毛细血管的
236,environment,n.自然环境；生活或工作环境；工作平台
234,plateau,n.高原；vi.到达平稳阶段
2261,protect,v.保护；警戒
22,algae,n.藻类
213,dinosaur,n.恐龙
21,journalism,n.新闻业
202,lacks,v.缺乏，不足，没有，需要
196,count,v.计算；认为
193,agrarian,adj.耕地的
181,occurrence,n.发生，出现
177,navigation,n.导航
174,condition,n.环境，形势；状况，状态；疾病；v.使适应，…
171,awareness,n.意识
159,diverse,adj.多样的
154,influential,adj.有极大影响力的
152,constitute,vt.构成，组成
142,environmentalist,n.环境保护论者
130,Columbia,n.哥伦比亚
123,sieve,n.筛子，粗篮；v.筛，滤
122,partially,adv.部分地
11,geologic,adj.地质学的，地质的
